fieldID, ra (rad), dec (rad)
(1, 0.0, -1.5707963267948966)
(2, 3.141592653589793, -1.5283596537728108)
(3, 5.654874233312683, -1.5283595206147567)
(4, 0.6283110738669055, -1.5283595206147567)
(5, 4.39824888978555, -1.5283595206147567)
(6, 1.8849362842359731, -1.5283595206147567)
(7, 3.769907988514439, -1.4882930609628406)
(8, 2.513277318665147, -1.4882930609628406)
(9, 0.0, -1.4882927946467324)
(10, 5.0265573004913735, -1.4882919956984053)
(11, 1.2566281398462655, -1.4882919956984053)
(12, 5.654863580668316, -1.478906083910585)
(13, 0.6283219262483476, -1.478906083910585)
(14, 3.141592653589793, -1.478906083910585)
(15, 4.398227051864614, -1.4789058175944751)
(16, 1.8849582553149724, -1.4789058175944751)
(17, 3.545540661416904, -1.4451107028355343)
(18, 2.7376446457626824, -1.4451107028355343)
(19, 4.802182782858889, -1.4451107028355343)
(20, 1.4810023911626398, -1.4451107028355343)
(21, 6.058811854811534, -1.4451104365194245)
(22, 0.2243736687498871, -1.4451104365194245)
(23, 3.9942801093019518, -1.4451103033613708)
(24, 2.2889051978776345, -1.4451103033613708)
(25, 5.25092169811172, -1.4451101702033151)
(26, 1.0322634093307885, -1.4451101702033151)
(27, 3.141592653589793, -1.430702468705987)
(28, 5.654867309093844, -1.430702468705987)
(29, 0.6283181978228229, -1.430702468705987)
(30, 4.39822971502571, -1.4307022023898774)
(31, 1.8849557253119384, -1.4307022023898774)
(32, 3.7699141137849566, -1.4052607581802414)
(33, 2.51327119339463, -1.4052607581802414)
(34, 0.0, -1.4052603587060777)
(35, 5.026553572065845, -1.4052600923899696)
(36, 1.2566320014298458, -1.4052600923899696)
(37, 4.6924658722698, -1.3997477484076686)
(38, 1.5907194349097789, -1.3997477484076686)
(39, 3.435827479253344, -1.3997473489335046)
(40, 2.847357827926243, -1.3997473489335046)
(41, 5.949098672647973, -1.3997473489335046)
(42, 0.3340866678211206, -1.3997473489335046)
(43, 4.103996220942699, -1.3997472157754507)
(44, 2.1791889530788238, -1.3997472157754507)
(45, 5.3606359455397135, -1.3997469494593413)
(46, 0.9225494947979302, -1.3997469494593413)
(47, 3.141592653589793, -1.3826439957807994)
(48, 4.3982294487096025, -1.38264346314858)
(49, 1.8849557253119384, -1.38264346314858)
(50, 5.654869439622725, -1.3826429305163623)
(51, 0.628315934135895, -1.3826429305163623)
(52, 5.162935649385463, -1.362522881638869)
(53, 1.120249391478017, -1.362522881638869)
(54, 4.8901672336885005, -1.362522881638869)
(55, 1.3930183398072014, -1.362522881638869)
(56, 3.906299919530085, -1.3625226153227592)
(57, 2.376885387649501, -1.3625226153227592)
(58, 6.146796305641144, -1.3625226153227592)
(59, 0.13638917630839253, -1.3625226153227592)
(60, 3.633523248033742, -1.3625223490066496)
(61, 2.6496620591458444, -1.3625223490066496)
(62, 4.628732698958681, -1.3532474910362862)
(63, 1.654452341904793, -1.3532474910362862)
(64, 5.424365390425305, -1.3532474910362862)
(65, 0.8588196504381695, -1.3532474910362862)
(66, 4.167728861621604, -1.3532473578782305)
(67, 2.1154564455579825, -1.3532473578782305)
(68, 3.372096436471087, -1.3532466920879591)
(69, 2.911088870708499, -1.3532466920879591)
(70, 5.8853686951301665, -1.3532462926137954)
(71, 0.3978165454703925, -1.3532462926137954)
(72, 3.141592653589793, -1.3345024322295993)
(73, 5.65486784172606, -1.3345022990715452)
(74, 0.6283173322954677, -1.3345022990715452)
(75, 4.398231312922358, -1.3345018995973814)
(76, 1.8849538610991654, -1.3345018995973814)
(77, 3.769910917991644, -1.321946826112366)
(78, 2.5132743891879423, -1.321946826112366)
(79, 0.0, -1.321946826112366)
(80, 5.026549843640316, -1.3219464266382024)
(81, 1.2566353303812088, -1.3219464266382024)
(82, 3.5436783128666125, -1.3180069455957033)
(83, 2.7395069943129737, -1.3180069455957033)
(84, 6.0569556315317605, -1.3180065461215398)
(85, 0.22622974222685965, -1.3180065461215398)
(86, 3.9961432568005666, -1.3180064129634856)
(87, 2.287042050379019, -1.3180064129634856)
(88, 4.800316972199178, -1.31800627980543)
(89, 1.4828683349804055, -1.31800627980543)
(90, 5.252781649817025, -1.318006013489322)
(91, 1.030403590783531, -1.318006013489322)
(92, 3.3307868132223346, -1.3060586733650619)
(93, 2.9523984939572516, -1.3060586733650619)
(94, 5.465674214725752, -1.3060585402070082)
(95, 0.8175112256118962, -1.3060585402070082)
(96, 4.209035555393169, -1.3060584070489543)
(97, 2.0741497517864174, -1.3060584070489543)
(98, 4.587423342026036, -1.3060582738908986)
(99, 1.6957618319955015, -1.3060582738908986)
(100, 5.844063066623033, -1.3060581407328444)
(101, 0.4391220741089815, -1.3060581407328444)
(102, 3.141592653589793, -1.2862009458549422)
(103, 4.398231845554574, -1.286200413222723)
(104, 1.8849533284669497, -1.286200413222723)
(105, 5.65486890699049, -1.2862000137485592)
(106, 0.6283165999261684, -1.2862000137485592)
(107, 3.6720506668917046, -1.2792189364250806)
(108, 2.6111346402878817, -1.2792189364250806)
(109, 5.124408763159717, -1.2792184037928631)
(110, 1.1587765440198665, -1.2792184037928631)
(111, 3.8677706364593676, -1.2792180043186996)
(112, 2.4154146707202186, -1.2792180043186996)
(113, 6.1853263876601865, -1.2792178711606437)
(114, 0.09785866984804546, -1.2792178711606437)
(115, 4.928689326224269, -1.2792177380025898)
(116, 1.3544958477972597, -1.2792177380025898)
(117, 3.480732369973707, -1.2722917881136755)
(118, 2.8024529372058793, -1.2722917881136755)
(119, 4.059091330222336, -1.2722917881136755)
(120, 2.224093843799205, -1.2722917881136755)
(121, 4.7373667682485445, -1.2722911223234041)
(122, 1.5458185389310428, -1.2722911223234041)
(123, 5.994005960213324, -1.2722907228492404)
(124, 0.28917924709771275, -1.2722907228492404)
(125, 5.315729190606577, -1.2722904565331306)
(126, 0.9674559834149551, -1.2722904565331306)
(127, 4.23785761629055, -1.258377570366339)
(128, 2.0453275577309733, -1.258377570366339)
(129, 5.494490682984831, -1.2583769045760658)
(130, 0.7886948905108576, -1.2583769045760658)
(131, 5.815242337306208, -1.2583767714180116)
(132, 0.4679428034258182, -1.2583767714180116)
(133, 3.301967149169924, -1.258376638259956)
(134, 2.9812181580096615, -1.258376638259956)
(135, 4.558605808502507, -1.2583765051019022)
(136, 1.7245792323609768, -1.2583765051019022)
(137, 5.026548245743669, -1.2380166385682467)
(138, 1.2566371945939712, -1.2380166385682467)
(139, 3.769911716939968, -1.2380162390940832)
(140, 2.5132735902396184, -1.2380162390940832)
(141, 0.0, -1.2380161059360293)
(142, 3.141592653589793, -1.23770305134989)
(143, 4.398231579238466, -1.23770305134989)
(144, 1.8849537279411206, -1.23770305134989)
(145, 5.654867309093844, -1.2377025187176725)
(146, 0.6283179980857411, -1.2377025187176725)
(147, 5.197193488383811, -1.234956000685473)
(148, 1.0859916856377267, -1.234956000685473)
(149, 4.855904068367977, -1.2349557343693651)
(150, 1.4272815051277248, -1.2349557343693651)
(151, 3.9405556279995526, -1.2349554680532553)
(152, 2.3426296791800336, -1.2349554680532553)
(153, 6.112540064539444, -1.234954669104928)
(154, 0.17064539244294658, -1.234954669104928)
(155, 3.5992667406159513, -1.234954669104928)
(156, 2.6839185665636354, -1.234954669104928)
(157, 3.4345145408359365, -1.2257063095874108)
